Taxa	Alice00-1mio.daa	Alice01-1mio.daa	Alice03-1mio.daa	Alice06-1mio.daa	Alice08-1mio.daa	Alice34-1mio.daa
1262750					634.0	
657309					499.0	
702443					492.0	
1262832					448.0	
1896989						394.0
39948						386.0
1896967						1563.0
512293						516.0
349741						1047.0
512311						84.0
1262881						979.0
1499682						530.0
1262890						1554.0
1750560						520.0
387661						494.0
417613						96.0
742726						391.0
328813						471.0
195950						308.0
1262691						1028.0
1262694						985.0
1262978						518.0
1263034						1245.0
748224						857.0
1263094						466.0
1262828						416.0
